Nombre,Precio,Proveedor,MPN,EAN,Longitud,Ranuras,Conectores de 8 pines,Conectores de 6 pines,HDMI,DisplayPort,DVI,VGA,Relog de Boost,Vram,Reloj de memoria,TDP
EVGA GeForce GTX 1070 Ti SC Gaming ACX 3.0 Black Edition,$528.92 USD,EVGA,08G-P4-5671-KR,4250812423245,266.7 mm,2.0,1,0,0,0,0,MPN,1683 MHz,8 GB,2 MHz,180 W
EVGA GeForce GTX 1070 Ti SC Hybrid,$520.55 USD,EVGA,08G-P4-5678-KR,4250812423269,266.7 mm,2.0,1,0,0,0,0,MPN,1683 MHz,8 GB,2 MHz,180 W
EVGA GeForce GTX 1080 SC Gaming ACX 3.0,$583.41 USD,EVGA,08G-P4-6183-KR,4250812413994,266.7 mm,2.0,1,0,0,0,0,MPN,1847 MHz,8 GB,5 MHz,180 W
EVGA GeForce GTX 1080 Ti FTW3 Hybrid Gaming,$861.74 USD,EVGA,11G-P4-6698-KR,4250812420121,288.8 mm,2.0,2,0,0,0,0,MPN,1683 MHz,11 GB,8 MHz,250 W
EVGA GeForce GTX 1080 Ti SC2 Hybrid Gaming iCX,$768.05 USD,EVGA,11G-P4-6598-KR,4250812420145,266.7 mm,2.0,1,1,0,0,0,MPN,1670 MHz,11 GB,8 MHz,250 W
EVGA GeForce GTX 1650 Super SC Ultra,$309.7 USD,EVGA,04G-P4-1357-KR,843368064723,202.1 mm,2.0,0,1,1,1,1,MPN,1755 MHz,4 GB,12000 MHz,100 W
EVGA GeForce GTX 1660 Super SC Ultra,$270.16 USD,EVGA,06G-P4-1068-KR,843368064143,202.1 mm,2.0,1,0,1,1,1,MPN,1830 MHz,6 GB,14000 MHz,125 W
EVGA GeForce GTX 1660 Ti XC Black Gaming,$285.97 USD,EVGA,06G-P4-1261-KR,4250812432247,189.89 mm,3.0,1,0,1,1,1,MPN,1770 MHz,6 GB,12000 MHz,130 W
EVGA GeForce GTX 1660 Ti XC Gaming,$336.85 USD,EVGA,06G-P4-1263-KR,4250812432230,189.89 mm,3.0,1,0,1,1,1,MPN,1845 MHz,6 GB,12000 MHz,130 W
EVGA GeForce GTX 1660 XC,$222.68 USD,EVGA,06G-P4-1163-KR,843368060848,189.89 mm,3.0,1,0,1,1,1,MPN,1830 MHz,6 GB,8000 MHz,120 W
EVGA GeForce GTX 1660 XC Black,$220.75 USD,EVGA,06G-P4-1161-KR,843368060855,189.89 mm,3.0,1,0,1,1,1,MPN,1785 MHz,6 GB,8000 MHz,120 W
EVGA GeForce GTX 1660 XC Ultra,$256.16 USD,EVGA,06G-P4-1167-KR,843368060824,267.97 mm,2.0,1,0,1,1,1,MPN,1845 MHz,6 GB,8000 MHz,120 W
EVGA GeForce RTX 2060 KO Gaming,$329.23 USD,EVGA,06G-P4-2066-KR,843368065492,202.1 mm,,1,0,0,0,0,MPN,1680 MHz,6 GB,14000 MHz,160 W
EVGA GeForce RTX 2060 KO Ultra Gaming,$331.42 USD,EVGA,06G-P4-2068-KR,843368065485,202.1 mm,,1,0,0,0,0,MPN,1755 MHz,6 GB,14000 MHz,160 W
EVGA GeForce RTX 2060 Super SC Ultra Gaming,$419.26 USD,EVGA,08G-P4-3067-KR,4250812434036,269.83 mm,2.0,1,0,1,1,1,MPN,1680 MHz,8 GB,14000 MHz,175 W
EVGA GeForce RTX 2060 Super XC Gaming,$442.21 USD,EVGA,08G-P4-3162-KR,4250812434029,269.83 mm,2.0,1,1,1,1,0,MPN,1695 MHz,8 GB,14000 MHz,175 W
EVGA GeForce RTX 2060 Super XC Ultra Gaming,$478.23 USD,EVGA,08G-P4-3163-KR,4250812434012,269.83 mm,2.75,1,1,1,1,0,MPN,1695 MHz,8 GB,14000 MHz,175 W
EVGA GeForce RTX 2060 XC Black Gaming,$373.56 USD,EVGA,06G-P4-2061-KR,4250812431721,172.72 mm,3.0,1,0,1,1,1,MPN,1680 MHz,6 GB,14000 MHz,160 W
EVGA GeForce RTX 2060 XC Gaming,$381.74 USD,EVGA,06G-P4-2063-KR,4250812431448,172.72 mm,3.0,1,0,1,1,1,MPN,1755 MHz,6 GB,14000 MHz,160 W
EVGA GeForce RTX 2060 XC Ultra Gaming,$388.79 USD,EVGA,06G-P4-2167-KR,4250812431431,269.2 mm,2.0,1,0,1,2,1,MPN,1830 MHz,6 GB,14000 MHz,160 W
EVGA GeForce RTX 2070 Black Edition,$488.87 USD,EVGA,08G-P4-1071-KR,4250812430557,269.2 mm,2.0,1,0,1,2,1,MPN,1620 MHz,8 GB,14000 MHz,175 W
EVGA GeForce RTX 2070 Super Black Gaming,$477.93 USD,EVGA,08G-P4-3071-KR,4250812434173,269.83 mm,2.0,1,1,1,1,0,MPN,1770 MHz,8 GB,14000 MHz,260 W
EVGA GeForce RTX 2070 Super FTW3 Ultra Gaming,$558.53 USD,EVGA,08G-P4-3277-KR,4250812434135,301.925 mm,2.75,2,0,1,1,0,MPN,1815 MHz,8 GB,14000 MHz,260 W
EVGA GeForce RTX 2070 Super FTW3 Ultra+,$677.64 USD,EVGA,08G-P4-3377-KR,843368063986,302 mm,2.75,2,0,1,3,0,MPN,1815 MHz,8 GB,15500 MHz,215 W
EVGA GeForce RTX 2070 Super Gaming,$563.54 USD,EVGA,08G-P4-3070-KR,4250812434180,265.63 mm,2.0,1,1,1,1,0,MPN,1770 MHz,8 GB,14000 MHz,260 W
EVGA GeForce RTX 2070 Super KO Gaming,$553.79 USD,EVGA,08G-P4-2072-KR,843368065584,269.83 mm,2.0,1,1,1,1,0,MPN,1770 MHz,8 GB,15500 MHz,215 W
EVGA GeForce RTX 2070 Super XC Gaming,$540.39 USD,EVGA,08G-P4-3172-KR,4250812434166,269.83 mm,2.75,1,1,1,1,0,MPN,1800 MHz,8 GB,14000 MHz,260 W
EVGA GeForce RTX 2070 Super XC Ultra Gaming,$540.39 USD,EVGA,08G-P4-3173-KR,4250812434159,269.83 mm,3.0,1,1,1,1,0,MPN,1800 MHz,8 GB,14000 MHz,260 W
EVGA GeForce RTX 2070 Super XC Ultra+,$601.33 USD,EVGA,08G-P4-3175-KR,843368063993,269.83 mm,2.75,1,1,1,3,0,MPN,1800 MHz,8 GB,15500 MHz,215 W
EVGA GeForce RTX 2070 XC,$546.4 USD,EVGA,08G-P4-2172-KR,4250812429841,269.2 mm,2.0,1,0,1,3,0,MPN,1710 MHz,8 GB,14000 MHz,175 W
EVGA GeForce RTX 2070 XC Ultra,$572.31 USD,EVGA,08G-P4-2173-KR,4250812429834,269.2 mm,3.0,1,0,1,3,0,MPN,1725 MHz,8 GB,14000 MHz,175 W
EVGA GeForce RTX 2080 Super Black Gaming,$725.37 USD,EVGA,08G-P4-3081-KR,4250812434104,269.83 mm,2.0,1,1,1,3,0,MPN,1815 MHz,8 GB,15500 MHz,250 W
EVGA GeForce RTX 2080 Super FTW3 Hybrid,$830.55 USD,EVGA,08G-P4-3288-KR,4250812433992,290.83 mm,2.0,2,0,1,3,0,MPN,1845 MHz,8 GB,15500 MHz,250 W
EVGA GeForce RTX 2080 Super FTW3 Ultra Gaming,$785.57 USD,EVGA,08G-P4-3287-KR,4250812434043,301.925 mm,2.75,2,0,1,3,0,MPN,1845 MHz,8 GB,15000 MHz,250 W
EVGA GeForce RTX 2080 Super KO Gaming,$732.46 USD,EVGA,08G-P4-2083-KR,843368065676,269.83 mm,2.0,1,1,1,3,0,MPN,1815 MHz,8 GB,15500 MHz,250 W
EVGA GeForce RTX 2080 Super XC Gaming,$754.38 USD,EVGA,08G-P4-3182-KR,4250812434098,269.83 mm,2.0,1,1,0,3,0,MPN,1830 MHz,8 GB,15500 MHz,250 W
EVGA GeForce RTX 2080 Super XC Hybrid Gaming,$825.47 USD,EVGA,08G-P4-3188-KR,4250812434005,265.63 mm,2.0,1,1,1,3,0,MPN,1830 MHz,8 GB,15500 MHz,250 W
EVGA GeForce RTX 2080 Super XC Ultra Gaming,$810.56 USD,EVGA,08G-P4-3183-KR,4250812434081,269.83 mm,2.75,1,1,1,3,0,MPN,1845 MHz,8 GB,15000 MHz,250 W
EVGA GeForce RTX 2080 Ti Black Edition Gaming,$1182.35 USD,EVGA,11G-P4-2281-KR,4250812430861,269.2 mm,2.0,2,0,1,3,0,MPN,1545 MHz,11 GB,14000 MHz,250 W
EVGA GeForce RTX 2080 Ti FTW3 Ultra Gaming iCX,$1419.55 USD,EVGA,11G-P4-2487-KR,4250812429711,301.93 mm,3.0,2,0,1,3,0,MPN,1755 MHz,11 GB,14000 MHz,250 W
EVGA GeForce RTX 2080 Ti K|NGP|N Gaming,$1818.51 USD,EVGA,11G-P4-2589-KR,4250812429773,266.7 mm,2.0,3,0,1,3,0,MPN,1770 MHz,11 GB,14000 MHz,250 W
EVGA GeForce RTX 2080 Ti XC,$1236.76 USD,EVGA,11G-P4-2382-KR,4250812429551,269.2 mm,2.5,2,0,1,3,0,MPN,1635 MHz,11 GB,14000 MHz,285 W
EVGA GeForce RTX 2080 Ti XC Ultra,$1310.75 USD,EVGA,11G-P4-2383-KR,4250812429544,269.2 mm,2.5,2,0,1,3,0,MPN,1650 MHz,11 GB,14000 MHz,285 W
EVGA GeForce RTX 2080 XC,$781.86 USD,EVGA,08G-P4-2182-KR,4250812429568,269.2 mm,5.0,1,1,1,3,0,MPN,MHz,8 GB,14000 MHz,225 W
EVGA GeForce RTX 2080 XC Ultra,$826.11 USD,EVGA,08G-P4-2183-KR,4250812429575,269.2 mm,5.0,1,0,1,3,0,MPN,MHz,8 GB,14000 MHz,225 W
EVGA GT 740 Superclocked,$136.65 USD,EVGA,01G-P4-2753-KR,809394263431,152 mm,2.0,0,0,1,0,1,MPN,1253 MHz,2 GB,5012 MHz,64 W
Gigabyte Aorus GeForce GTX 1660 Ti 6G,$332.16 USD,Gigabyte,GV-N166TAORUS-6GD,4719331304539,280 mm,,1,0,1,1,0,0,1890 MHz,6 GB,12000 MHz,120 W
Gigabyte Aorus GeForce RTX 2060 Super,$435.22 USD,Gigabyte,GV-N206SAORUS-8GC,4719331304935,290 mm,3.0,1,1,1,1,0,0,1845 MHz,8 GB,14000 MHz,175 W
Gigabyte Aorus GeForce RTX 2060 Xtreme 6G,$407.63 USD,Gigabyte,GV-N2060AORUS X-6GC,4719331304348,290 mm,2.0,1,1,1,3,0,0,1845 MHz,6 GB,14000 MHz,190 W
Gigabyte Aorus GeForce RTX 2070 Super,$599.0 USD,Gigabyte,GV-N207SAORUS-8GC,4719331305192,290 mm,3.0,2,0,1,1,0,0,1905 MHz,8 GB,14000 MHz,260 W
Gigabyte Aorus GeForce RTX 2080 Super,$817.8 USD,Gigabyte,GV-N208SAORUS-8GC,4719331304980,290 mm,,2,0,0,0,0,0,1860 MHz,8 GB,15500 MHz,250 W
Gigabyte Aorus GeForce RTX 2080 Super Waterforce,$879.82 USD,Gigabyte,GV-N208SAORUS W-8GC,4719331305352,290 mm,2.0,2,0,3,3,0,0,1860 MHz,8 GB,15500 MHz,250 W
Gigabyte Aorus GeForce RTX 2080 Super Waterforce WB,$800.08 USD,Gigabyte,GV-N208SAORUS WB-8GC,4719331305369,291.29 mm,2.0,2,0,3,3,0,0,1860 MHz,8 GB,15500 MHz,250 W
Gigabyte Aorus GeForce RTX 2080 Ti Xtreme 1,$1416.77 USD,Gigabyte,GV-N208TAORUS X-11GC,4719331303693,290 mm,2.5,2,0,3,3,0,0,1770 MHz,11 GB,14000 MHz,250 W
Gigabyte Aorus GeForce RTX 2080 Ti Xtreme Waterforce WB 1,$1310.75 USD,Gigabyte,GV-N208TAORUS X WB-11GC,4719331303761,280 mm,2.0,2,0,3,3,0,0,1770 MHz,11 GB,14000 MHz,250 W
Gigabyte GeForce GT 1030,$129.33 USD,Gigabyte,GV-N1030D5-2GL,4719331301590,149.9 mm,1.0,0,0,0,0,0,0,1468 MHz,2 GB,4 MHz,30 W
Gigabyte GeForce GT 1030 OC 2G,$98.09 USD,Gigabyte,GV-N1030OC-2GI,4719331301699,167.7 mm,2.0,0,0,0,0,0,0,1518 MHz,2 GB,4 MHz,30 W
Gigabyte GeForce GT 1030 Silent,$81.23 USD,Gigabyte,GV-N1030SL-2GL,4719331301620,174.9 mm,2.0,0,0,0,0,0,0,1468 MHz,2 GB,4 MHz,30 W
Gigabyte GeForce GTX 1050,$130.56 USD,Gigabyte,GV-N1050D5-2GD,4719331339302,172 mm,2.0,0,0,0,0,0,0,1455 MHz,2 GB,4 MHz,75 W
Gigabyte GeForce GTX 1050 OC,$274.27 USD,Gigabyte,GV-N1050OC-2GL,4719331301163,167 mm,2.0,0,0,0,0,0,0,1468 MHz,2 GB,4 MHz,75 W
Gigabyte GeForce GTX 1050 Ti,$178.83 USD,Gigabyte,GV-N105TD5-4GD,4719331339326,172 mm,2.0,0,0,0,0,0,0,1392 MHz,4 GB,4 MHz,75 W
Gigabyte GeForce GTX 1050 Ti G1 Gaming,$264.68 USD,Gigabyte,GV-N105TG1 GAMING-4GD,4719331339241,219 mm,2.0,0,0,0,0,0,0,1480 MHz,4 GB,4 MHz,75 W
Gigabyte GeForce GTX 1050 Ti OC,$173.43 USD,Gigabyte,GV-N105TOC-4GL,4719331301156,167 mm,2.0,0,0,0,0,0,0,1417 MHz,4 GB,4 MHz,75 W
Gigabyte GeForce GTX 1050 Ti WindForce 2X OC,$251.15 USD,Gigabyte,GV-N105TWF2OC-4GD,4719331339272,229 mm,2.0,0,0,0,0,0,0,1442 MHz,4 GB,4 MHz,75 W
Gigabyte GeForce GTX 1050 WindForce 2X,$165.68 USD,Gigabyte,GV-N1050WF2OC-2GD,4719331339319,229 mm,2.0,0,0,0,0,0,0,1506 MHz,2 GB,4 MHz,75 W
Gigabyte GeForce GTX 1060 Aorus Xtreme 6G,$360.5 USD,Gigabyte,GV-N1060AORUS X-6GD (Rev. 2),4719331301866,281 mm,3.0,1,0,0,0,0,0,MHz,6 GB,82 MHz,120 W
Gigabyte GeForce GTX 1060 Mini ITX OC 6G,$304.66 USD,Gigabyte,GV-N1060IXOC-6GD,4719331330293,169 mm,2.0,0,1,0,0,0,0,1746 MHz,6 GB,4 MHz,120 W
Gigabyte GeForce GTX 1060 OC WindForce 2X,$237.1 USD,Gigabyte,GV-N1060WF2OC-3GD,4719331331290,223 mm,2.0,0,1,0,0,0,0,1771 MHz,3 GB,4 MHz,120 W
Gigabyte GeForce GTX 1060 OC WindForce 2X,$320.17 USD,Gigabyte,GV-N1060WF2OC-6GD,4719331330309,223 mm,2.0,0,1,0,0,0,0,1771 MHz,6 GB,4 MHz,120 W
Gigabyte GeForce GTX 1070 Aorus Gaming Box,$589.76 USD,Gigabyte,GV-N1070IXEB-8GD,4719331301644,96 mm,,0,0,0,0,0,0,1721 MHz,8 GB,4 MHz,150 W
Gigabyte GeForce GTX 1070 Mini ITX OC,$426.97 USD,Gigabyte,GV-N1070IXOC-8GD,4719331324216,169 mm,2.0,1,0,0,0,0,0,1721 MHz,8 GB,4 MHz,150 W
Gigabyte GeForce GTX 1070 Ti Aorus 8G,$489.73 USD,Gigabyte,GV-N107TAORUS-8GD,4719331302900,280 mm,2.0,1,0,0,0,0,0,1683 MHz,8 GB,2 MHz,180 W
Gigabyte GeForce GTX 1070 Ti Gaming 8G,$477.01 USD,Gigabyte,GV-N107TGAMING-8GD,4719331302788,280 mm,2.0,1,0,0,0,0,0,1683 MHz,8 GB,2 MHz,180 W
Gigabyte GeForce GTX 1080 Mini ITX 8G,$426.97 USD,Gigabyte,GV-N1080IX-8GD,4719331302573,163 mm,2.0,1,0,0,0,0,0,1607 MHz,8 GB,10 MHz,180 W
Gigabyte GeForce GTX 1080 Ti Aorus 11G,$863.47 USD,Gigabyte,GV-N108TAORUS-11GD,4719331301385,293 mm,2.5,2,0,0,0,0,0,1683 MHz,11 GB,5 MHz,250 W
Gigabyte GeForce GTX 1080 Ti Aorus Xtreme 11G,$863.47 USD,Gigabyte,GV-N108TAORUS X-11GD,4719331301392,293 mm,2.5,2,0,0,0,0,0,1721 MHz,11 GB,16 MHz,250 W
Gigabyte GeForce GTX 1080 Ti Gaming OC,$874.56 USD,Gigabyte,GV-N108TGAMING OC-11GD,4719331301408,280 mm,2.0,1,1,0,0,0,0,1632 MHz,11 GB,5 MHz,250 W
Gigabyte GeForce GTX 1080 Ti Gaming OC Black,$663.71 USD,Gigabyte,GV-N108TGAMINGOC BLACK-11GD,4719331302313,280 mm,2.0,1,1,0,0,0,0,1632 MHz,11 GB,5 MHz,250 W
Gigabyte GeForce GTX 1080 Ti Turbo,$725.37 USD,Gigabyte,GV-N108TTURBO-11GD,4719331301729,270 mm,2.0,1,1,0,0,0,0,1582 MHz,11 GB,5 MHz,250 W
Gigabyte GeForce GTX 1080 Ti Waterforce W Xtreme 11G,$797.91 USD,Gigabyte,GV-N108TAORUSX W-11GD,4719331301804,266.7 mm,2.5,2,0,0,0,0,0,1721 MHz,11 GB,16 MHz,250 W
Gigabyte GeForce GTX 1080 Xtreme Gaming Water Cooling,$557.6 USD,Gigabyte,GV-N1080XTREME W-8GD,4719331325152,264 mm,2.0,2,0,1,3,1,0,1898 MHz,8 GB,MHz,180 W
Gigabyte GeForce GTX 1650 D6 OC,$168.28 USD,Gigabyte,GV-N1656OC-4GD 2.0,4719331306922,172 mm,2.0,0,1,1,1,1,0,1635 MHz,4 GB,12000 MHz,75 W
"Gigabyte GeForce GTX 1650 OC 4G, 4096 MB GDDR5",$163.2 USD,Gigabyte,GV-N1650OC-4GD,4719331304645,191 mm,2.0,0,0,1,1,0,0,1710 MHz,4 GB,8000 MHz,75 W
"Gigabyte GeForce GTX 1650 WindForce OC 4G, 4096 MB GDDR5",$174.08 USD,Gigabyte,GV-N1650WF2OC-4GD,4719331304621,229 mm,2.0,0,0,1,1,0,0,1785 MHz,4 GB,8000 MHz,90 W
Gigabyte GeForce GTX 1660 Gaming OC,$280.89 USD,Gigabyte,GV-N1660GAMING OC-6GD,4719331304492,280 mm,2.0,1,0,1,3,0,0,1860 MHz,6 GB,8000 MHz,120 W
Gigabyte GeForce GTX 1660 OC,$224.86 USD,Gigabyte,GV-N1660OC-6GD,4719331304485,224 mm,2.0,1,0,1,3,0,0,1830 MHz,6 GB,8000 MHz,120 W
Gigabyte GeForce GTX 1660 Super Gaming OC,$271.75 USD,Gigabyte,GV-N166SGAMING OC-6GD,4719331305932,280 mm,2.0,1,0,1,3,0,0,MHz,6 GB,14000 MHz,125 W
Gigabyte GeForce GTX 1660 Super OC,$267.47 USD,Gigabyte,GV-N166SOC-6GD,4719331305888,224 mm,2.0,1,0,1,3,0,0,MHz,6 GB,14000 MHz,125 W
Gigabyte GeForce GTX 1660 Ti Gaming OC 6G,$295.86 USD,Gigabyte,GV-N166TGAMING OC-6GD,4719331304553,280 mm,2.0,1,0,1,1,0,0,1860 MHz,6 GB,12000 MHz,120 W
Gigabyte GeForce GTX 1660 Ti Mini ITX OC 6G,$302.12 USD,Gigabyte,GV-N166TIXOC-6GD,4719331304461,170 mm,2.0,1,0,1,1,0,0,1785 MHz,6 GB,12000 MHz,120 W
Gigabyte GeForce GTX 1660 Ti OC 6G,$288.69 USD,Gigabyte,GV-N166TOC-6GD,4719331304454,225.65 mm,2.0,1,0,1,1,0,0,1800 MHz,6 GB,12000 MHz,120 W
Gigabyte GeForce GTX 1660 Ti WindForce OC 6G,$298.84 USD,Gigabyte,GV-N166TWF2OC-6GD,4719331304447,264.9 mm,2.0,1,0,1,1,0,0,1845 MHz,6 GB,12000 MHz,120 W
Gigabyte GeForce RTX 2060 D6,$329.34 USD,Gigabyte,GV-N2060D6-6GD 2.0,4719331309190,225.6 mm,2.0,1,0,1,3,0,0,1680 MHz,6 GB,14000 MHz,160 W
Gigabyte GeForce RTX 2060 Gaming OC 6G,$389.72 USD,Gigabyte,GV-N2060GAMING OC-6GD,4719331304249,280 mm,2.5,1,0,1,3,0,0,1830 MHz,6 GB,14000 MHz,160 W
Gigabyte GeForce RTX 2060 Gaming OC Pro 6G,$389.57 USD,Gigabyte,GV-N2060GAMINGOC PRO-6GD,4719331304386,280.35 mm,2.0,1,0,1,3,0,0,1830 MHz,6 GB,14000 MHz,160 W
Gigabyte GeForce RTX 2060 Mini ITX OC 6G,$374.29 USD,Gigabyte,GV-N2060IXOC-6GD,4719331304270,170 mm,2.0,1,0,1,3,0,0,1695 MHz,6 GB,14000 MHz,160 W
Gigabyte GeForce RTX 2060 Super Gaming OC,$419.59 USD,Gigabyte,GV-N206SGAMING OC-8GC,4719331304959,280.35 mm,2.0,1,1,1,1,0,0,1815 MHz,8 GB,14000 MHz,175 W
Gigabyte GeForce RTX 2060 Super Gaming OC 3X 8G White,$452.22 USD,Gigabyte,GV-N206SGAMINGOC WHITE-8GD,4719331305376,280.35 mm,2.0,1,0,1,3,0,0,1815 MHz,8 GB,14000 MHz,175 W
Gigabyte GeForce RTX 2060 WindForce OC 6G,$373.19 USD,Gigabyte,GV-N2060WF2OC-6GD,4719331304256,264.9 mm,2.0,1,0,1,3,0,0,1770 MHz,6 GB,14000 MHz,160 W
Gigabyte GeForce RTX 2070 Super Gaming OC 3X,$589.94 USD,Gigabyte,GV-N207SGAMING OC-8GD,4719331305543,286.5 mm,2.5,1,1,1,3,0,0,1815 MHz,8 GB,14000 MHz,260 W
Gigabyte GeForce RTX 2070 Super Windforce OC 3X,$514.2 USD,Gigabyte,GV-N207SWF3OC-8GD,4719331305505,286 mm,2.5,1,1,1,3,0,0,1785 MHz,8 GB,14000 MHz,260 W
Gigabyte GeForce RTX 2080 Gaming OC,$808.39 USD,Gigabyte,GV-N2080GAMING OC-8GC,4719331303594,286.5 mm,5.0,1,1,1,3,0,0,MHz,8 GB,14000 MHz,225 W
Gigabyte GeForce RTX 2080 Super Gaming OC White,$736.65 USD,Gigabyte,GV-N208SGAMINGOC WHITE-8GD,4719331305963,286.5 mm,2.5,1,1,1,3,0,0,1845 MHz,8 GB,15500 MHz,250 W
Gigabyte GeForce RTX 2080 Super Turbo,$752.93 USD,Gigabyte,GV-N208STURBO-8GC,4719331305314,272 mm,2.0,1,1,1,3,0,0,1815 MHz,8 GB,15500 MHz,250 W
Gigabyte GeForce RTX 2080 Ti Gaming OC,$1239.57 USD,Gigabyte,GV-N208TGAMING OC-11GC,4719331303563,286.5 mm,2.5,2,0,1,3,0,0,1650 MHz,11 GB,14000 MHz,250 W
Gigabyte GeForce RTX 2080 WindForce OC 8G,$788.8 USD,Gigabyte,GV-N2080WF3OC-8GC,4719331303587,280.35 mm,2.0,1,1,1,3,0,0,MHz,8 GB,14000 MHz,225 W
Gigabyte GT 730,$77.97 USD,Gigabyte,GV-N730D5-2GL,889523010556,150 mm,1.0,0,0,1,0,1,0,902 MHz,2 GB,5000 MHz,38 W
Gigabyte Radeon RX 580 Aorus 4G,$344.65 USD,Gigabyte,GV-RX580AORUS-4GD,4719331301361,232 mm,2.0,1,0,1,3,1,0,1365 MHz,4 GB,7000 MHz,185 W
Gigabyte Radeon RX 580 Aorus 8G,$364.68 USD,Gigabyte,GV-RX580AORUS-8GD,4719331301354,232 mm,2.0,1,0,1,3,1,0,1365 MHz,8 GB,8000 MHz,185 W
Gigabyte Radeon RX 580 Gaming 4G,$330.26 USD,Gigabyte,GV-RX580GAMING-4GD,4719331301446,232 mm,2.0,1,0,1,3,1,0,1340 MHz,4 GB,7000 MHz,185 W
Gigabyte Radeon RX 580 Gaming 8G,$244.47 USD,Gigabyte,GV-RX580GAMING-8GD,4719331301439,232 mm,2.0,1,0,1,3,1,0,1340 MHz,8 GB,8000 MHz,185 W
Gigabyte Radeon RX Vega 56 Gaming OC,$306.1 USD,Gigabyte,GV-RXVEGA56GAMING OC-8GD,4719331302924,273.8 mm,2.5,2,0,3,3,0,0,1501 MHz,8 GB,800 MHz,250 W
Gigabyte Radeon RX Vega 64 Gaming OC,$701.82 USD,Gigabyte,GV-RXVEGA64GAMING OC-8GD,4719331302771,273.8 mm,2.5,2,0,3,3,0,0,1560 MHz,8 GB,945 MHz,300 W
Gigabyte Radeon VII,$741.99 USD,Gigabyte,GV-RVEGA20-16GD-B,4719331304508,280 mm,2.0,2,0,1,3,0,0,1750 MHz,16 GB,2000 MHz,300 W
MSI GeForce GTX 1050 Ti Gaming X 4G,$151.59 USD,MSI,V335-001R,4719072487553,229 mm,2.0,0,1,0,0,0,0,1468 MHz,4 GB,MHz,75 W
MSI GeForce GTX 1080 Ti Gaming X 11G,$779.02 USD,MSI,V360-001R,4719072517151,290 mm,2.5,2,0,0,0,0,0,1657 MHz,11 GB,MHz,250 W
"MSI GeForce GTX 1650 Gaming X 4G, 4096 MB GDDR5",$180.07 USD,MSI,V380-003R,4719072629298,259 mm,2.0,0,0,1,1,0,0,1860 MHz,4 GB,8000 MHz,75 W
MSI GeForce GTX 1650 Ventus XS OCV1,$115.32 USD,MSI,V809-3609R,4719072744526,179 mm,2.0,0,0,2,1,0,0,1620 MHz,4 GB,8000 MHz,75 W
MSI GeForce GTX 1660 Gaming X,$250.45 USD,MSI,V379-001R,4719072626686,247 mm,2.0,1,0,1,3,0,0,1860 MHz,6 GB,8000 MHz,130 W
MSI GeForce GTX 1660 Super Ventus XS OC,$256.77 USD,MSI,V375-279R,4719072681852,204 mm,2.0,1,0,1,3,0,0,1815 MHz,6 GB,14000 MHz,125 W
MSI GeForce GTX 1660 Ti Gaming X 6G,$303.95 USD,MSI,V375-040R,4719072621964,247 mm,,1,0,1,1,0,0,1875 MHz,6 GB,12000 MHz,130 W
MSI GeForce GTX 1660 Ti Ventus XS 6G,$283.96 USD,MSI,V375-032R,4719072622961,204 mm,2.0,1,0,1,3,0,0,1830 MHz,6 GB,12000 MHz,120 W
MSI GeForce RTX 2060 Ventus GP 6G OC,$304.65 USD,MSI,V375-231R,4719072658731,226 mm,2.0,1,0,1,3,0,0,1710 MHz,6 GB,14000 MHz,160 W
MSI Geforce RTX 2080 Super Gaming X Trio,$1370.19 USD,MSI,V372-248R,4719072660031,328 mm,2.75,2,0,1,3,0,0,1845 MHz,8 GB,15500 MHz,250 W
MSI GeForce RTX 3060 Aero ITX 12G OC,$394.96 USD,MSI,V809-3689R,4719072804619,172 mm,2.0,1,0,1,3,0,0,MHz,12 GB,15000 MHz,170 W
MSI GeForce RTX 3080 Gaming Z Trio 12GB LHR,$993.76 USD,MSI,V389-402R,4719072922658,323 mm,2.5,3,0,1,3,0,0,MHz,12 GB,19000 MHz,390 W
MSI GeForce RTX 3080 Ventus 3X Plus 12G OC LHR,$942.98 USD,MSI,V389-400R,4719072926229,305 mm,2.5,2,0,1,3,0,0,MHz,12 GB,19000 MHz,390 W
MSI GT 710 Low Profile,$65.26 USD,MSI,GT 710 2GD3 LP,824142126905,146 mm,1.0,0,0,1,0,1,1,954 MHz,2 GB,1600 MHz,10 W
MSI Radeon RX 580 Armor 8G OC,$210.34 USD,MSI,V341-064R,4719072516147,269 mm,2.0,1,0,2,2,1,0,1366 MHz,8 GB,8000 MHz,150 W
PNY GeForce RTX 2060 SUPER XRL8 OC Twin Fan,$438.88 USD,PNY,VCG20608SDFPPB-O,751492630465,235 mm,2.0,1,0,1,3,0,0,1680 MHz,8 GB,14000 MHz,175 W
PNY GeForce RTX 2070 XLR8 Gaming OC,$665.21 USD,PNY,VCG20708DFPPB-O,751492622125,188 mm,2.0,1,0,1,2,1,0,1710 MHz,8 GB,14000 MHz,185 W
PNY GeForce RTX 2080 Ti Blower,$1167.99 USD,PNY,VCG2080T11BLMPB,751492621722,293 mm,2.0,2,0,1,3,0,0,1545 MHz,11 GB,14000 MHz,260 W
PNY GeForce RTX 2080 Ti XLR8 Gaming OC,$1244.35 USD,PNY,VCG2080T11TFMPB-O,751492621715,314 mm,2.0,2,0,1,3,0,0,1545 MHz,11 GB,14000 MHz,260 W
