Nombre,Precio,Proveedor,MPN,EAN,Longitud,Ranuras,Conectores de 8 pines,Conectores de 6 pines,HDMI,DisplayPort,DVI,VGA,Relog de Boost,Vram,Reloj de memoria,TDP
MSI GeForce RTX 4060 Gaming X,$304.64 USD,MSI,V516-003R,4711377115476,247 mm,2.5,1,0,1,3,0,0,2595 MHz,8 GB,17000 MHz,115 W
MSI GeForce RTX 4060 Ti Gaming X,$427.96 USD,MSI,V515-015R,4711377102544,247 mm,2.0,1,0,1,3,0,0,2640 MHz,8 GB,18000 MHz,160 W
MSI GeForce RTX 4060 Ti Ventus 2X Black 8G OC,$509.98 USD,MSI,V515-017R,4711377102582,199 mm,2.5,1,0,1,3,0,0,2565 MHz,8 GB,18000 MHz,160 W
MSI GeForce RTX 4070 Ventus 3X 12G OC,$609.31 USD,MSI,V513-057R,4711377087810,308 mm,2.25,1,0,1,3,0,0,2505 MHz,12 GB,21000 MHz,200 W
MSI GeForce RTX 4080 Suprim X,$1436.24 USD,MSI,V511-004R,4711377027205,336 mm,3.5,0,0,1,3,0,0,MHz,16 GB,22400 MHz,320 W
MSI Radeon RX 6600 XT Mech 2X,$340.92 USD,MSI,V502-004R,4719072860837,235 mm,2.0,1,0,1,3,0,0,MHz,8 GB,16000 MHz,160 W
MSI Radeon RX 6700 XT Gaming X,$528.28 USD,MSI,V398-007R,4719072806637,279 mm,3.0,2,0,1,3,0,0,MHz,12 GB,8000 MHz,230 W
MSI Radeon RX 7600 Mech 2X Classic 8G OC,$253.14 USD,MSI,V502-094R,4711377102513,235 mm,,1,0,1,3,0,0,2695 MHz,8 GB,18000 MHz,165 W
PNY GeForce RTX 3090 XLR8 Gaming EPIC-X RGB,$1717.88 USD,PNY,VCG309024TFXPPB,751492639543,294 mm,2.75,2,0,1,3,0,0,MHz,24 GB,19500 MHz,350 W
PNY GeForce RTX 4080 XLR8 Gaming VERTO Edition,$1175.1 USD,PNY,VCG408016TFXXPB1,751492756400,332 mm,3.5,0,0,1,3,0,0,2505 MHz,16 GB,22400 MHz,320 W
PNY GeForce RTX 4080 XLR8 Gaming VERTO OC Edition,$1196.86 USD,PNY,VCG408016TFXXPB1-O,751492761220,332 mm,3.5,0,0,1,3,0,0,2550 MHz,16 GB,22400 MHz,320 W
PNY GeForce RTX 4080 XLR8 Gaming VERTO Triple Fan Edition,$1232.25 USD,PNY,VCG408016TFXPB1,751492761251,336.9 mm,3.0,0,0,1,3,0,0,2505 MHz,16 GB,22400 MHz,320 W
Sapphire Pulse Radeon RX 7600 Gaming,$275.64 USD,SAPPHIRE,11324-01-20G,4895106293618,240 mm,2.0,1,0,1,3,0,0,2754 MHz,8 GB,18000 MHz,165 W
ZOTAC GAMING GeForce RTX 3060 Twin Edge OC,$340.92 USD,ZOTAC,ZT-A30600H-10M,4895173622830,225 mm,2.0,1,0,1,3,0,0,1807 MHz,12 GB,7500 MHz,170 W
ZOTAC Gaming GeForce RTX 4060 Ti Twin Edge OC SPIDER-MAN™ Across the Spider-Verse,$413.46 USD,ZOTAC,ZT-D40610H-10SMP,4895173626982,225.5 mm,2.2,1,0,1,3,0,0,2550 MHz,8 GB,18000 MHz,160 W
Asus AREZ PH RX 550 2G,$112.43 USD,ASUS,AREZ-PH-RX550-2G,192876023402,192 mm,2.0,0,0,1,1,1,0,1071 MHz,2 GB,6000 MHz,50 W
Asus CERBERUS GTX 1050 O2G,$154.5 USD,ASUS,CERBERUS-GTX1050-O2G,889349927366,203 mm,2.0,0,0,1,1,1,0,1544 MHz,2 GB,7008 MHz,75 W
