Nombre,Precio,Proveedor,MPN,EAN,Tipo de RAM,Tamaño,Reloj,Tiempos,Sticks
G.Skill Ripjaws V DDR4-3000 32GB,$164.65 USD,G.Skill,F4-3000C15Q-32GVR,4719692004352,DDR4-3000,32 GB,3000,15-15-15-35-2N,4
G.Skill Ripjaws V DDR4-3200 32GB,$208.9 USD,G.Skill,F4-3200C15Q-32GVR,848354019466,DDR4-3200,32 GB,3200,15-15-15-35-2N,4
G.Skill RipJaws V Series,$119.68 USD,G.Skill,F4-3000C15D-32GVR,4719692004390,DDR4-3000,32 GB,3000,15-15-15-35,2
G.Skill Sniper X Series,$156.67 USD,G.Skill,F4-3200C16Q-32GSXFB,4719692019660,DDR4-3200,32 GB,3200,16-18-18-38,4
G.Skill Sniper X Series,$170.37 USD,G.Skill,F4-3200C16Q-32GSXWB,4719692019646,DDR4-3200,32 GB,3200,16-18-18-38,4
G.Skill Sniper X Series,$175.19 USD,G.Skill,F4-3200C16Q-32GSXKB,4719692019653,DDR4-3200,32 GB,3200,16-18-18-38,4
G.Skill Trident Z RGB DDR4-2400 16GB,$93.47 USD,G.Skill,F4-2400C15D-16GTZR,848354025115,DDR4-2400,16 GB,2400,15-15-15-35-2N,2
G.Skill Trident Z RGB DDR4-2400 32GB,$199.85 USD,G.Skill,F4-2400C15Q-32GTZR,848354025122,DDR4-2400,32 GB,2400,15-15-15-35-2N,4
G.Skill Trident Z RGB DDR4-3200 32GB,$137.81 USD,G.Skill,F4-3200C16Q-32GTZR,848354024989,DDR4-3200,32 GB,3200,16-18-18-38,4
G.Skill Trident Z RGB DDR4-3866 16GB,$159.03 USD,G.Skill,F4-3866C18D-16GTZR,848354024941,DDR4-3866,16 GB,3866,18-19-19-39-2N,2
G.Skill Trident Z RGB Series,$108.07 USD,G.Skill,F4-3000C16D-16GTZR,4719692015457,DDR4-3000,16 GB,3000,16-18-18-38,2
"HyperX Fury Series, DDR4-2666, CL15 - 8 GB Kit",$58.33 USD,HyperX,HX426C15FBK2/8,740617244380,DDR4-2666,8 GB,2666,15-17-17,2
Kingston Fury Beast,$53.66 USD,Kingston,KF436C17BBK2/16,740617319781,DDR4-3600,16 GB,3600,CL17-21-21,2
Kingston Fury Beast,$166.1 USD,Kingston,KF436C18BBK2/64,740617319729,DDR4-3600,64 GB,3600,18-22-22,2
Kingston Fury Beast RGB,$86.31 USD,Kingston,KF436C18BBAK2/32,740617319057,DDR4-3600,32 GB,3600,18-22-22,2
Kingston Fury Beast RGB,$158.12 USD,Kingston,KF436C18BBAK2/64,740617319019,DDR4-3600,64 GB,3600,18-22-22,2
Kingston Fury Renegade,$92.6 USD,Kingston,KF436C16RBK2/16,740617322484,DDR4-3600,16 GB,3600,16-20-20,2
Kingston HyperX Predator,$505.49 USD,Kingston,HX430C15PB3K4/64,740617258479,DDR4-3000,64 GB,3000,15-17-17,4
Kingston Server DIMM,$114.04 USD,Kingston,KSM26RD8/16HAI,740617270860,DDR4-2666,16 GB,2666,19-19-19,1
Thermaltake Toughram RGB DDR4-3000 CL16 - 16 GB Dual-Kit,$98.54 USD,Thermaltake,R009D408GX2-3000C16B,4713227522052,DDR4-3000,16 GB,3000,16-18-18-38,2
Thermaltake Toughram RGB DDR4-4400 CL19- 16 GB Dual-Kit,$156.51 USD,Thermaltake,R009D408GX2-4400C19A,4713227523080,DDR4-4400,16 GB,4400,19-25-25-45,2
