Nombre,Precio,Proveedor,MPN,EAN,Tipo de RAM,Tamaño,Reloj,Tiempos,Sticks
"Corsair Dominator Platinum + AF, DDR4-3600, CL 18 - 16 GB Quad Kit",$321.04 USD,Corsair,CMD16GX4M4B3600C18,843591068369,DDR4-3600,16 GB,3600,18-19-19-39,4
"Corsair Dominator Platinum + AF, DDR4-3733, CL 17 - 8 GB Dual Kit",$209.81 USD,Corsair,CMD8GX4M2B3733C17,843591085014,DDR4-3733,8 GB,3733,17-19-19-39,2
"Corsair Dominator Platinum + AF, DDR4-3866, CL 18 - 8 GB Dual Kit",$218.65 USD,Corsair,CMD8GX4M2B3866C18,843591090193,DDR4-3866,8 GB,3866,18-22-22-40,2
Corsair Dominator Platinum RGB,$118.95 USD,Corsair,CMT32GX5M2B5600C36,840006660804,DDR5-5600,32 GB,5600,40-40-40-77,2
Corsair Dominator Platinum RGB,$148.72 USD,Corsair,CMT32GX5M2B5200C40,840006659471,DDR5-5200,32 GB,5200,40-40-77,2
Corsair Dominator Platinum RGB,$170.46 USD,Corsair,CMT32GX5M2B6400C32,840006602026,DDR5-6400,32 GB,6400,32-40-40-84,2
Corsair Dominator Platinum RGB,$174.08 USD,Corsair,CMT32GX5M2X6200C36W,840006663553,DDR5-6200,32 GB,6200,36-39-39-76,2
Corsair Dominator Platinum RGB,$195.11 USD,Corsair,CMT64GX5M2B5200C40,840006660965,DDR5-5200,64 GB,5200,40-40-40-77,2
Corsair Dominator Platinum RGB,$224.86 USD,Corsair,CMT64GX5M2B5200C40W,840006663560,DDR5-5200,64 GB,5200,40-40-40-77,2
Corsair Dominator Platinum RGB,$232.11 USD,Corsair,CMT64GX5M2X5600C40,840006692263,DDR5-5600,64 GB,5600,40-40-40-77,2
