Nombre,Precio,Proveedor,MPN,EAN,Socket,Chipset,Desbloqueado,Formato,Tipo_Memoria,Capacidad de memoria,Ranuras de RAM,SATA,VGA,DVI,Puerto Display,HDMI,WiFi
"ASRock X570 Phantom Gaming-ITX/TB3, AMD X570",$254.77 USD,ASRock,90-MXBB10-A0UAYZ,4717677339147,AM4,X570,True,Mini-ITX,DDR4,64 GB,2,4,0,0.0,0.0,0.0,False
"ASRock X570 Pro4, AMD X570",$176.59 USD,ASRock,90-MXBAT0-A0UAYZ,4717677338874,AM4,X570,True,ATX,DDR4,128 GB,4,8,0,0.0,0.0,1.0,False
"ASRock X570 Steel Legend, AMD X570",$169.72 USD,ASRock,90-MXBAR0-A0UAYZ,4717677338904,AM4,X570,True,ATX,DDR4,128 GB,4,8,0,0.0,0.0,1.0,False
"ASRock X570M Pro4, AMD X570",$190.43 USD,ASRock,90-MXBAS0-A0UAYZ,4717677338812,AM4,X570,True,Micro-ATX,DDR4,128 GB,4,8,0,0.0,0.0,1.0,False
ASRock Z170 Extreme7+,$225.19 USD,ASRock,Z170 Extreme7+,4717677326888,1151,Z170,True,ATX,DDR4,64 GB,4,10,0,1.0,1.0,1.0,False
ASRock Z270 Extreme4,$256.04 USD,ASRock,90-MXB3N0-A0UAYZ,4717677332391,1151,Z270,True,ATX,DDR4,64 GB,4,8,0,0.0,0.0,0.0,False
ASRock Z270 Taichi,$167.47 USD,ASRock,90-MXB4P0-A0UAYZ,4717677332766,1151,Z270,True,ATX,DDR4,64 GB,4,10,0,0.0,0.0,0.0,False
ASRock Z370 Extreme4,$176.98 USD,ASRock,90-MXB5U0-A0UAYZ,4717677334227,1151,Z370,True,ATX,DDR4,64 GB,4,8,0,0.0,0.0,0.0,False
ASRock Z370 Taichi,$210.86 USD,ASRock,90-MXB5Y0-A0UAYZ,4717677334340,1151,Z370,True,ATX,DDR4,64 GB,4,8,0,0.0,0.0,0.0,False
ASRock Z370M ITX/ac,$154.82 USD,ASRock,90-MXB620-A0UAYZ,4717677334371,1151,Z370,True,Mini-ITX,DDR4,32 GB,2,6,0,0.0,0.0,0.0,False
ASRock Z390 M Pro 4,$122.27 USD,ASRock,90-MXB740-A0UAYZ,4717677336801,1151,Z390,False,Micro-ATX,DDR4,64 GB,4,4,0,0.0,0.0,1.0,False
