Nombre,Precio,Proveedor,MPN,EAN,Formato,Protocolo,Tamaño,NAND,Controlador
ADATA XPG SX6000 Series,$42.93 USD,ADATA,ASX6000NP-128GT-C,4713218461407,M.2,NVM,128 GB,TLC,Realtek RTS5760
ADATA XPG SX6000 Series,$61.37 USD,ADATA,ASX6000NP-256GT-C,4713218461414,M.2,NVM,256 GB,TLC,Realtek RTS5760
ADATA XPG SX6000 Series,$142.59 USD,ADATA,ASX6000NP-512GT-C,4713218461421,M.2,NVM,512 GB,TLC,Realtek RTS5760
ADATA XPG SX8200 Pro Series 1000 GB,$140.02 USD,ADATA,ASX8200PNP-1TT-C,4713218469465,M.2,NVM,1000 GB,TLC,Silicon Motion SM2262EN
Corsair Force Series LS,$43.04 USD,Corsair,CSSD-F120GBLSB,843591058469,SATA,SATA,120 GB,MLC,Phison PS3109
Corsair Force Series LS,$323.34 USD,Corsair,CSSD-F960GBLSB,843591058490,SATA,SATA,960 GB,MLC,Phison PS3108
Corsair Force Series MP510 240 GB,$49.32 USD,Corsair,CSSD-F240GBMP510,843591024334,M.2,NVM,240 GB,TLC,PS5012-E12
Corsair Force Series MP510 480 GB,$48.72 USD,Corsair,CSSD-F480GBMP510B,840006623052,M.2,NVM,480 GB,TLC,PS5012-E12
Corsair Force Series MP510 480 GB,$86.91 USD,Corsair,CSSD-F480GBMP510,843591024341,M.2,NVM,480 GB,TLC,PS5012-E12
Corsair Force Series MP510 960 GB,$96.32 USD,Corsair,CSSD-F960GBMP510B,840006623069,M.2,NVM,960 GB,TLC,PS5012-E12
Corsair MP400 R2 1000 GB,$104.44 USD,Corsair,CSSD-F1000GBMP400R2,840006644750,M.2,NVM,1000 GB,QLC,PS5012-E12S
Corsair MP400 R2 2000 GB,$187.78 USD,Corsair,CSSD-F2000GBMP400R2,840006644767,M.2,NVM,2000 GB,QLC,PS5012-E12S
Corsair MP400 R2 4000 GB,$539.67 USD,Corsair,CSSD-F4000GBMP400R2,840006656739,M.2,NVM,4000 GB,QLC,PS5012-E12S
