Nombre,Precio,Proveedor,MPN,EAN,Reloj base,Reloj turbo,Multiplicador desbloqueado,Nucleos,Subprocesos,TDP,Socket,GPU integrada
Intel Core i5-6600,$238.64 USD,Intel,BX80662I56600,5032037076081,3.3 GHz,3.9 GHz,False,4,4,65 W,1151,Intel HD 530
Intel Core i5-6600K,$226.51 USD,Intel,BX80662I56600K,5032037076142,3.5 GHz,3.9 GHz,True,4,4,91 W,1151,Intel HD 530
Intel Core i5-7400,$199.81 USD,Intel,BX80677I57400,5032037092982,3.0 GHz,3.5 GHz,False,4,4,65 W,1151,Intel HD 630
Intel Core i5-7500,$264.49 USD,Intel,BX80677I57500,5032037092920,3.4 GHz,3.8 GHz,False,4,4,65 W,1151,Intel HD 630
Intel Core i5-7600,$219.78 USD,Intel,BX80677I57600,5032037092869,3.5 GHz,4.1 GHz,False,4,4,65 W,1151,Intel HD 630
Intel Core i5-7600K,$242.48 USD,Intel,BX80677I57600K,5032037092807,3.8 GHz,4.2 GHz,True,4,4,91 W,1151,Intel HD 630
Intel Core i5-7640X,$210.35 USD,Intel,BX80677I57640X,5032037102483,4.0 GHz,4.2 GHz,True,4,4,112 W,2066,False
Intel Core i5-8400,$235.75 USD,Intel,BX80684I58400,5032037108904,2.8 GHz,4.0 GHz,False,6,6,65 W,1151,Intel UHD 630
Intel Core i5-8500,$453.16 USD,Intel,BX80684I58500,5032037121743,3.0 GHz,4.1 GHz,False,6,6,65 W,1151,Intel UHD 630
Intel Core i5-8600,$224.12 USD,Intel,BX80684I58600,5032037121675,3.1 GHz,4.3 GHz,False,6,6,65 W,1151,Intel UHD 630
Intel Core i5-8600K,$440.28 USD,Intel,BX80684I58600K,5032037108782,3.6 GHz,4.3 GHz,True,6,6,95 W,1151,Intel UHD 630
Intel Core i5-9400,$239.65 USD,Intel,BX80684I59400,5032037140225,2.9 GHz,4.1 GHz,False,6,6,65 W,1151,Intel UHD 630
Intel Core i5-9400F,$190.81 USD,Intel,BX80684I59400F,5032037150354,2.9 GHz,4.1 GHz,False,6,6,65 W,1151,False
Intel Core i5-9600K,$174.08 USD,Intel,BX80684I59600K,5032037140171,3.7 GHz,GHz,True,6,6,95 W,1151,Intel UHD 630
Intel Core i5-9600KF,$239.34 USD,Intel,BX80684I59600KF,5032037151818,3.7 GHz,4.6 GHz,True,6,6,95 W,1151,False
Intel Core i7-10700F,$275.08 USD,Intel,BX8070110700F,5032037188760,2.9 GHz,GHz,True,8,16,65 W,1200,False
Intel Core i7-11700K,$304.55 USD,Intel,BX8070811700K,5032037214964,3.6 GHz,GHz,True,8,16,125 W,1200,Intel UHD 750
Intel Core i7-12700F,$282.17 USD,Intel,BX8071512700F,5032037237826,2.1 GHz,4.9 GHz,False,8,16,65 W,1700,False
Intel Core i7-12700KF,$282.17 USD,Intel,BX8071512700KF,5032037234047,3.6 GHz,5.0 GHz,True,8,16,125 W,1700,False
Intel Core i7-5820K,$466.34 USD,Intel,BX80648I75820K,5032037065702,3.3 GHz,3.6 GHz,True,6,12,140 W,2011-V3,False
Intel Core i7-6700,$320.91 USD,Intel,BX80662I76700,5032037077187,3.4 GHz,4.0 GHz,False,4,8,65 W,1151,Intel HD 530
Intel Core i7-6700K,$337.18 USD,Intel,BX80662I76700K,5032037076685,4.0 GHz,4.2 GHz,True,4,8,91 W,1151,Intel HD 530
Intel Core i7-6800K,$432.82 USD,Intel,BX80671I76800K,5032037087131,3.4 GHz,3.6 GHz,True,6,12,140 W,2011-V3,False
Intel Core i7-6850K,$594.8 USD,Intel,BX80671I76850K,5032037087193,3.6 GHz,3.8 GHz,True,6,12,140 W,2011-V3,False
Intel Core i7-6900K,$584.44 USD,Intel,BX80671I76900K,5032037087490,3.2 GHz,3.7 GHz,True,8,16,140 W,2011-V3,False
Intel Core i7-6950X,$1639.34 USD,Intel,BX80671I76950X,5032037087551,3.0 GHz,3.5 GHz,True,10,20,140 W,2011-V3,False
Intel Core i7-7700,$322.06 USD,Intel,BX80677I77700,5032037092623,3.6 GHz,4.2 GHz,False,4,8,65 W,1151,Intel HD 630
Intel Core i7-7700K,$414.02 USD,Intel,BX80677I77700K,5032037092562,4.2 GHz,4.5 GHz,True,4,8,91 W,1151,Intel HD 630
Intel Core i7-7740X,$337.98 USD,Intel,BX80677I77740X,5032037102421,4.3 GHz,4.5 GHz,True,4,8,112 W,2066,False
Intel Core i7-7800X,$388.43 USD,Intel,BX80673I77800X,5032037105095,3.5 GHz,GHz,True,6,12,140 W,2066,False
Intel Core i7-7820X,$582.22 USD,Intel,BX80673I77820X,5032037104913,3.6 GHz,4.5 GHz,True,8,16,140 W,2066,False
Intel Core i7-8086K,$380.81 USD,Intel,BX80684I78086K,5032037131834,4.0 GHz,5.0 GHz,True,6,12,95 W,1151,False
Intel Core i7-8700,$331.05 USD,Intel,BX80684I78700,5032037108591,3.2 GHz,4.6 GHz,False,6,12,65 W,1151,Intel UHD 630
Intel Core i7-8700K,$372.23 USD,Intel,BX80684I78700K,5032037108652,3.7 GHz,4.7 GHz,True,6,12,95 W,1151,Intel UHD 630
Intel Core i7-9700K,$384.44 USD,Intel,BX80684I79700K,675901709767,3.6 GHz,GHz,True,8,8,125 W,1151,Intel UHD 630
Intel Core i7-9700KF,$450.2 USD,Intel,BX80684I79700KF,5032037151870,3.6 GHz,4.9 GHz,True,8,8,95 W,1151,False
Intel Core i9-10850K,$317.85 USD,Intel,BX8070110850K,5032037198844,3.6 GHz,5.2 GHz,True,10,20,125 W,1200,Intel UHD 630
Intel Core i9-10900K,$462.75 USD,Intel,BX8070110900K,5032037188623,3.7 GHz,5.3 GHz,True,10,20,125 W,1200,Intel UHD 630
Intel Core i9-11900F,$456.98 USD,Intel,BX8070811900F,5032037215626,2.5 GHz,GHz,False,8,16,65 W,1200,False
Intel Core i9-13900KS,$688.38 USD,Intel,BX8071513900KS,5032037262057,3.2 GHz,3.0 GHz,True,8,16,125 W,1700,False
Intel Core i9-7900X,$1070.83 USD,Intel,BX80673I97900X,5032037104791,3.3 GHz,4.5 GHz,True,10,20,140 W,2066,False
Intel Core i9-7920X,$1177.74 USD,Intel,BX80673I97920X,5032037107655,2.9 GHz,4.4 GHz,True,12,24,140 W,2066,False
Intel Core i9-7940X,$1365.93 USD,Intel,BX80673I97940X,5032037113748,3.1 GHz,4.4 GHz,True,14,28,165 W,2066,False
Intel Core i9-7960X,$1540.52 USD,Intel,BX80673I97960X,5032037113816,2.8 GHz,4.4 GHz,True,16,32,165 W,2066,False
Intel Core i9-7980XE,$1970.84 USD,Intel,BX80673I97980X,5032037114905,2.6 GHz,4.4 GHz,True,18,36,165 W,2066,False
Intel Core i9-9900K,$507.76 USD,Intel,BX80684I99900K,5032037140102,3.6 GHz,5.0 GHz,True,8,16,160 W,1151,Intel UHD 630
Intel Core i9-9900KF,$349.48 USD,Intel,BX80684I99900KF,5032037151931,3.6 GHz,5.0 GHz,True,8,16,95 W,1151,False
Intel Pentium G4400,$50.05 USD,Intel,BX80662G4400,5032037079655,3.3 GHz,GHz,False,2,2,47 W,1151,Intel HD 510
Intel Pentium G4500,$81.93 USD,Intel,BX80662G4500,5032037079471,3.5 GHz,GHz,False,2,2,47 W,1151,False
Intel Pentium G4600,$110.27 USD,Intel,BX80677G4600,5032037095938,3.6 GHz,GHz,False,2,4,51 W,1151,Intel HD 530
Intel Pentium Gold G5400,$72.53 USD,Intel,BX80684G5400,5032037121491,3.7 GHz,GHz,False,2,4,58 W,1151,Intel UHD 610
Intel Pentium Gold G5500,$97.98 USD,Intel,BX80684G5500,5032037121552,3.8 GHz,GHz,False,2,4,54 W,1151,Intel UHD 610
Intel Pentium Gold G5600,$79.76 USD,Intel,BX80684G5600,5032037121613,3.9 GHz,GHz,False,2,4,54 W,1151,Intel UHD 630
Intel Xeon E5-1620 V3,$346.33 USD,Intel,BX80644E51620V3,5032037065320,3.5 GHz,3.6 GHz,False,4,8,140 W,2011-V3,False
Intel Xeon E5-2609 V4,$320.65 USD,Intel,BX80660E52609V4,5032037085557,1.7 GHz,GHz,False,8,8,85 W,2011-V3,False
Intel Xeon E5-2620 V3,$397.5 USD,Intel,BX80644E52620V3,5032037065597,2.4 GHz,3.2 GHz,False,6,12,85 W,2011-V3,False
Intel Xeon E5-2620 V4,$398.22 USD,Intel,BX80660E52620V4,5032037085601,2.1 GHz,3.0 GHz,False,8,16,85 W,2011-V3,False
Intel Xeon E5-2630 V4,$683.38 USD,Intel,BX80660E52630V4,5032037085656,2.2 GHz,3.1 GHz,False,0,20,85 W,2011-V3,False
Intel Xeon E5-2640 V4,$964.39 USD,Intel,BX80660E52640V4,5032037085755,2.4 GHz,3.4 GHz,False,0,20,90 W,2011-V3,False
Intel Xeon E5-2650 V4,$1177.33 USD,Intel,BX80660E52650V4,5032037083072,2.2 GHz,2.9 GHz,False,2,24,105 W,2011-V3,False
Intel Xeon E5-2660 V4,$414.46 USD,Intel,BX80660E52660V4,675901383707,2.0 GHz,3.2 GHz,False,4,28,105 W,2011-V3,False
Intel Xeon E5-2687W V3,$2356.01 USD,Intel,BX80644E52687V3,5032037064491,3.1 GHz,3.5 GHz,False,0,20,160 W,2011-V3,False
